"","gene","logFC","p_val","bonferroni","padj"
"568","LINC00861",-0.304613069447722,4.54371724394382e-08,5.37067378234159e-05,2.76838854759876e-07
"570","LY6E",0.894339241437878,4.96648856738522e-20,5.87038948664933e-17,4.19313534760666e-18
"576","SMIM27",-0.254231542678752,1.41710306329508e-05,0.0167501582081479,5.18580749478262e-05
"578","CHMP5",0.431753819166796,1.00493211166088e-13,1.18782975598316e-10,2.28428799227531e-12
"587","SEC61B",0.290611768395152,3.06122473038705e-08,3.61836763131749e-05,1.96650414745516e-07
"588","TXN",0.417530206579404,1.04650330022115e-10,1.2369669008614e-07,1.14533972301981e-09
"592","HSPA5",0.268061221240244,5.06631005154883e-08,5.98837848093071e-05,3.0397860309293e-07
"593","BBLN",0.133922153213694,2.26907915673176e-06,0.00268205156325694,9.93352430835903e-06
"594","SET",-0.251810092524954,1.75187184027244e-09,2.07071251520202e-06,1.53386112237187e-08
"598","PHPT1",0.370311460988345,1.55230235322822e-10,1.83482138151575e-07,1.63823337635335e-09
"600","PAXX",0.204977283963068,9.20513493178371e-09,1.08804694893683e-05,6.7580555834586e-08
"602","SSNA1",0.183612968978828,3.3447160140845e-07,0.000395345432864788,1.69676151444115e-06
"603","KLF6",0.858378015351258,6.24548339652015e-17,7.38216137468681e-14,2.46072045822894e-15
"606","PRKCQ-AS1",-0.288951560108607,4.11835706488456e-08,4.86789805069355e-05,2.57560743422939e-07
"608","CELF2",-0.243117215691683,1.51641730001568e-08,1.79240524861854e-05,1.04819020387049e-07
"611","NMT2",-0.282895637382355,2.47065218568586e-05,0.0292031088348068,8.48927582407176e-05
"612","VIM",0.463670318439124,5.1561504344648e-15,6.09456981353739e-12,1.52364245338435e-13
"614","YME1L1",0.339360870991336,5.26714573472034e-06,0.00622576625843944,2.14681595118602e-05
"616","KIF5B",0.205272738229095,1.18251585824884e-08,1.39773374445013e-05,8.47111360272808e-08
"618","ITGB1",0.351627972263168,1.29749444014528e-05,0.0153363842825172,4.82276235299282e-05
"620","ARID5B",0.464984291195423,9.69329034210052e-13,1.14574691843628e-09,1.73598017944891e-11
"623","DDX21",0.376732668055094,3.62884017825975e-14,4.28928909070303e-11,8.75365120551638e-13
"624","SRGN",0.378391893604343,1.22023839330182e-07,0.000144232178088275,6.67741565223495e-07
"627","PSAP",-0.177486214135543,3.44879248570242e-07,0.000407647271810026,1.74208235816251e-06
"628","SPOCK2",0.265085754231053,3.53240595691757e-11,4.17530384107657e-08,4.34927483445476e-10
"630","DDIT4",0.363199404173871,9.21754558924497e-07,0.00108951388864876,4.39320116390627e-06
"637","OGA",-0.226472078418648,1.43330220770031e-08,1.69416320950176e-05,1.00246343757501e-07
"639","GSTO1",0.28156240814815,1.75669231718228e-11,2.07641031890946e-08,2.30712257656606e-10
"648","IFITM2",0.389209447259955,9.21983838980743e-15,1.08978489767524e-11,2.59472594684581e-13
"649","IFITM1",-0.519597590810051,1.15736515533274e-07,0.000136800561360329,6.36281680745718e-07
"650","IFITM3",0.603937861490092,2.46522574532264e-12,2.91389683097136e-09,4.04707893190466e-11
"660","LDHA",0.441744198597833,1.3049909228052e-20,1.54249927075575e-17,1.54249927075575e-18
"662","EIF3M",-0.150669073650148,8.11623798645195e-09,9.5933932999862e-06,6.07176791138367e-08
"666","CD6",-0.200519509444332,1.60698375608065e-06,0.00189945479968733,7.27760459650319e-06
"672","PLAAT4",0.207988664091237,2.64132862091845e-12,3.12205042992561e-09,4.21898706746704e-11
"673","COX8A",0.154411069233808,2.06205806989578e-05,0.0243735263861682,7.27567951825915e-05
"674","TRMT112",0.241604793427065,3.21911443730339e-06,0.0038049932648926,1.37862074814949e-05
"676","RASGRP2",-0.116394274955567,4.10539328049999e-05,0.0485257485755099,0.000135169216087771
"679","CFL1",0.19599886361379,2.48055088158377e-08,2.93201114203201e-05,1.63799505141453e-07
"680","CCDC85B",0.30048898519123,8.51039195836101e-18,1.00592832947827e-14,4.79013490227748e-16
"681","DRAP1",0.341015985688763,2.75285134746341e-12,3.25387029270175e-09,4.33849372360234e-11
"682","SF3B2",0.127827157720803,9.25525696691357e-10,1.09397137348918e-06,8.35092651518461e-09
"684","PPP1CA",0.237315827734854,1.28593452213019e-06,0.00151997460515789,6.00780476346992e-06
"686","PTPRCAP",0.247166675914837,3.82061586605509e-11,4.51596795367711e-08,4.65563706564651e-10
"699","ANKRD49",-0.31983516064584,1.79982762052199e-07,0.000212739624745699,9.62622736405879e-07
"702","BIRC2",-0.278473506195854,3.77559549732889e-05,0.0446275387784275,0.000126066493724372
"704","CASP4",0.209743417862918,6.4291510979931e-08,7.59925659782785e-05,3.79962829891393e-07
"705","CARD16",0.405325548936849,2.20034851834937e-11,2.60081194868896e-08,2.79657198783759e-10
"707","ATM",-0.383746033718912,5.38399787595168e-12,6.36388548937489e-09,7.7608359626523e-11
"716","HSPA8",0.225637635639677,5.17563323743667e-09,6.11759848665015e-06,4.0783989911001e-08
"719","GAPDH",0.360953705055975,4.80267884294699e-17,5.67676639236335e-14,2.27070655694534e-15
"720","TPI1",0.218110973802258,6.07412771059361e-07,0.000717961895392165,2.97909500162724e-06
"723","M6PR",0.196412299126753,5.22544309187104e-07,0.000617647373459157,2.595157031341e-06
"726","CD69",0.489673233991265,4.64386953612581e-08,5.48905379170071e-05,2.80053764882689e-07
"740","FKBP11",0.308024068611648,2.35869254143353e-09,2.78797458397444e-06,1.9914104171246e-08
"742","TUBA1A",0.447383624352208,9.16042695320594e-08,0.000108276246586894,5.23073655009151e-07
"743","TMBIM6",0.221348442937394,8.49686798899892e-09,1.00432979629967e-05,6.31653959936901e-08
"744","COX14",0.227141366387913,4.8208049052464e-07,0.000569819139800125,2.40430016793302e-06
"750","PCBP2",-0.189953937900114,7.41666357417302e-13,8.76649634467251e-10,1.41395102333428e-11
"752","HNRNPA1",-0.121976668639077,6.50142156574095e-06,0.0076846802907058,2.57012718752702e-05
"754","CD63",0.276158995364137,9.9754596555319e-08,0.000117909933128387,5.64162359465967e-07
"755","PYM1",-0.250448731146508,1.32400915945384e-06,0.00156497882647444,6.16133396249781e-06
"757","MYL6",0.192534838406829,3.10990712240766e-05,0.0367591021868586,0.000105629603985226
"759","ATP5F1B",0.201500379131629,6.07412771059361e-07,0.000717961895392165,2.97909500162724e-06
"769","BTG1",0.262925512459574,2.17050887193031e-08,2.56554148662163e-05,1.45769402648956e-07
"775","HSP90B1",0.154928330126317,2.61627555473653e-06,0.00309243770569858,1.13692562709506e-05
"777","ARPC3",0.259571952638808,5.60680282904994e-16,6.62724094393703e-13,2.00825483149607e-14
"781","PEBP1",0.130431151812028,1.11082740517955e-06,0.00131299799292223,5.25199197168892e-06
"785","DYNLL1",0.438328551383282,2.76856708586722e-10,3.27244629549505e-07,2.74995487016391e-09
"792","UBC",0.297601238363265,1.07357933477609e-10,1.26897077370534e-07,1.16419337037187e-09
"793","RAN",0.206935141873046,8.41003241751589e-08,9.94065831750378e-05,4.84910161829453e-07
"794","MPHOSPH8",0.120629194267934,4.54446379677464e-06,0.00537155620778762,1.87162237205144e-05
"796","GTF3A",0.152204779182579,5.48464009816116e-09,6.48284459602649e-06,4.23715333073627e-08
"801","ALOX5AP",0.528527793576879,1.17758688806167e-11,1.39190770168889e-08,1.58171329737374e-10
"810","PHF11",0.251604209033764,1.26732348642163e-09,1.49797636095037e-06,1.13483057647755e-08
"818","PABPN1",-0.218487568334279,4.33882049115681e-06,0.00512848582054734,1.79317686033124e-05
"819","PSME1",0.284977096541386,5.6602181754211e-17,6.69037788334774e-14,2.34519415177329e-15
"820","PSME2",0.490249773416188,5.7538604400529e-17,6.80106304014253e-14,2.34519415177329e-15
"821","CHMP4A",0.161071468319061,3.24385874010597e-09,3.83424103080526e-06,2.71931988000373e-08
"824","SNX6",0.103491136686363,2.88111934123027e-05,0.0340548306133418,9.84243659345138e-05
"825","BAZ1A",0.24333229126275,1.71946192977677e-12,2.03240400099615e-09,2.94551304492195e-11
"826","NFKBIA",0.543959957853556,1.37646517579359e-06,0.00162698183778803,6.35539780385949e-06
"827","PNN",0.218715467635592,1.18948107323213e-06,0.00140596662856038,5.57923265301738e-06
"830","RTRAF",0.147113157595911,2.07578405117039e-08,2.4535767484834e-05,1.40204385627623e-07
"832","MAPK1IP1L",0.258226291018268,8.35102591451219e-07,0.000987091263095341,4.01256611014366e-06
"834","PSMA3-AS1",-0.173030700027368,1.99737071840521e-09,2.36089218915495e-06,1.73595013908452e-08
"836","SYNE2",0.324552122928809,1.91066353239783e-06,0.00225840429529424,8.49024171163246e-06
"841","SRSF5",0.2096545324133,1.02988414093126e-07,0.000121732305458075,5.7967764503845e-07
"849","GPR65",0.328184841344432,2.29482870561444e-08,2.71248753003627e-05,1.53247883052897e-07
"850","CALM1",0.253825548321272,6.09688669828316e-14,7.2065200773707e-11,1.44130401547414e-12
"851","TC2N",-0.19752356068946,3.38038351550112e-08,3.99561331532233e-05,2.1481792017862e-07
"852","NDUFB1",-0.253433855738079,2.02362039193578e-06,0.00239191930326809,8.92507202711973e-06
"853","DDX24",0.21998790141345,2.06994572098789e-09,2.44667584220769e-06,1.78589477533408e-08
"856","BCL11B",-0.370131476371197,2.11734593738772e-12,2.50270289799228e-09,3.52493365914406e-11
"859","PPP2R5C",0.271802698715717,1.0298493485912e-11,1.2172819300348e-08,1.41544410469163e-10
"860","HSP90AA1",0.477009183660616,1.19004674046114e-25,1.40663524722507e-22,1.17052805710437e-22
"864","CRIP1",-0.629453460561624,6.0167405073269e-09,7.1117872796604e-06,4.61804368809117e-08
"865","NOP10",0.31737084863951,5.29126833409462e-08,6.25427917089984e-05,3.15872685398982e-07
"870","PDIA3",0.23324732987693,1.020095202872e-10,1.2057525297947e-07,1.13750238659878e-09
"879","RORA",0.337068553758154,2.72445041366336e-07,0.000322030038895009,1.39406943244593e-06
"880","PPIB",0.253652299444816,5.12911715457338e-17,6.06261647670573e-14,2.32041816349673e-15
"881","RAB11A",0.218031222697485,7.40407251449525e-09,8.75161371213339e-06,5.6100087898291e-08
"883","PKM",0.206901330253405,4.84810920326368e-06,0.00573046507825767,1.98974481883947e-05
"884","COX5A",0.36854839307353,9.41409191821055e-18,1.11274566473249e-14,5.05793483969312e-16
"888","SEC11A",0.106281364294967,3.93721830558027e-05,0.0465379203719588,0.000130724495426851
"890","ISG20",0.368544531487716,1.99820862231223e-10,2.36188259157306e-07,2.05381094919397e-09
"891","CIB1",0.271265422054325,5.31126245839331e-12,6.27791222582089e-09,7.75050892076653e-11
"892","IQGAP1",0.224564384483336,2.00738669334283e-08,2.37273107153123e-05,1.36363854685703e-07
"900","SNHG9",-0.454892403181811,8.43401631614248e-07,0.00099690072856804,4.03603533833215e-06
"904","IL32",0.482954444043038,9.55798813156599e-13,1.1297541971511e-09,1.73598017944891e-11
"905","ATF7IP2",-0.427389928365446,3.95917370387083e-09,4.67974331797532e-06,3.18349885576552e-08
"907","RSL1D1",-0.176586987854026,3.91314984560589e-09,4.62534311750616e-06,3.16804323116861e-08
"917","ALDOA",0.174953414193912,5.98864453159345e-06,0.00707857783634346,2.39141143119711e-05
"919","CORO1A",0.221229392581492,1.91601361542982e-07,0.000226472809343805,1.01557313607088e-06
"923","RBL2",-0.237158900717708,3.88102109377578e-06,0.00458736693284297,1.61527004677569e-05
"924","MT2A",0.721507855417945,6.33674241915172e-12,7.49002953943733e-09,8.81179945816157e-11
"929","NAE1",-0.204074075989271,1.40259605566793e-10,1.6578685377995e-07,1.49357525927883e-09
"930","CIAO2B",0.371650445962759,1.12962427972673e-13,1.33521589863699e-10,2.50899740547497e-12
"932","PSMD7",0.164258035381271,8.92404679398333e-06,0.0105482233104883,3.43590335846524e-05
"936","COTL1",0.15288678944472,1.49384067374132e-05,0.0176571967636224,5.43298361957611e-05
"937","COX4I1",-0.165666094966552,6.51425463982331e-07,0.000769984898427116,3.18175577862445e-06
"938","MAP1LC3B",0.240781919611444,1.38490505972949e-10,1.63695778060025e-07,1.48814343690932e-09
"951","ACAP1",0.290681586255262,1.26519719880616e-12,1.49546308898888e-09,2.19921042498364e-11
"956","TRAPPC1",0.248554654609785,2.19314608979176e-07,0.000259229867813386,1.13697310444467e-06
"958","TTC19",-0.27710394359956,5.08792118168657e-11,6.01392283675352e-08,6.01392283675352e-10
"960","UBB",0.231227866541557,2.86898806719257e-12,3.39114389542161e-09,4.46203144134423e-11
"962","NSRP1",-0.142186663310719,1.80377770972297e-06,0.00213206525289256,8.07600474580514e-06
