"","p_value","bonferroni_pval"
"EIF4B",8.24620215256864e-22,1.62120334319499e-18
"PHF11",9.91774225212189e-22,1.94982812676716e-18
"SORL1",1.15958337591457e-21,2.27974091704805e-18
"SNHG9",1.17609725281836e-21,2.3122071990409e-18
"S100A9",1.33397626792187e-21,2.62259734273439e-18
"PCBP2",1.76796327326814e-21,3.47581579524516e-18
"CREG1",2.36865369994312e-21,4.65677317408817e-18
"EIF2S3",3.79922027915919e-21,7.46926706882697e-18
"STAT2",8.42897353767682e-21,1.65713619750726e-17
"IGSF6",1.05293146713411e-20,2.07006326438567e-17
"KRT10",1.43506449374885e-20,2.82133679471023e-17
"NMI",1.45692322620319e-20,2.86431106271548e-17
"TRIM22",1.543078978285e-20,3.0336932713083e-17
"LGALS9",1.64380942308385e-20,3.23172932578286e-17
"TLE4",2.91379288442288e-20,5.72851681077537e-17
"DDX3X",4.16440492231483e-20,8.18722007727096e-17
"RAP2B",4.44978239980653e-20,8.74827219801964e-17
"CST3",5.79213129524792e-20,1.13873301264574e-16
"PABPN1",1.1503065352534e-19,2.26150264830818e-16
"PSME2",1.17582950782547e-19,2.31168081238488e-16
"RABGAP1L",1.35036333960417e-19,2.65481432566179e-16
"CLEC7A",1.52170137723042e-19,2.99166490763501e-16
"RNF145",1.605992708319e-19,3.15738166455515e-16
"MT-ND3",2.32093304450274e-19,4.56295436549239e-16
"PLSCR1",2.41071332301462e-19,4.73946239304674e-16
"SQOR",2.89996710891986e-19,5.70133533613644e-16
"HLA-A",4.33665055059514e-19,8.52585498247005e-16
"CSDE1",7.08131430513892e-19,1.39218639239031e-15
