"","p_value","bonferroni_pval","fdr"
"NDUFB4",2.11487888100886e-05,0.0249978683735247,7.78749793567748e-05
"MT-ATP6",2.19646554789511e-05,0.0259622227761202,8.028947904848e-05
"DPY30",2.19687543776347e-05,0.0259670676743642,8.028947904848e-05
"PNISR",2.2090078281439e-05,0.0261104725286609,8.028947904848e-05
"ALKBH7",2.20991074687168e-05,0.0261211450280232,8.028947904848e-05
"CMPK1",2.21441371994962e-05,0.0261743701698045,8.028947904848e-05
"FAM133B",2.23860777633531e-05,0.0264603439162833,8.09184829244139e-05
"DDX24",2.34366313313487e-05,0.0277020982336541,8.44576165660187e-05
"SNHG9",2.39809635459143e-05,0.0283454989112707,8.61565316451996e-05
"ATP5F1A",2.46594776941144e-05,0.0291475026344432,8.83257655589188e-05
"RBX1",2.48782067972533e-05,0.0294060404343534,8.8840001312246e-05
"CDC26",2.53281725517433e-05,0.0299378999561606,9.01743974583151e-05
"PCNP",2.58241146908017e-05,0.0305241035645276,9.16639746682509e-05
"DDX17",2.61706501724229e-05,0.0309337085038039,9.26158937239638e-05
"CST3",2.64647781093592e-05,0.0312813677252626,9.3377217090336e-05
"COPS6",2.70300535370498e-05,0.0319495232807929,9.50878669071216e-05
"CYTIP",2.90431169933688e-05,0.034328964286162,0.000101866362866949
"RABAC1",2.9849144877799e-05,0.0352816892455584,0.000104383695992776
"GABARAPL2",3.02068566397357e-05,0.0357045045481676,0.000105323022265981
"RAP1B",3.15152274941216e-05,0.0372509988980518,0.000109561761464858
"ZNHIT1",3.18305312773424e-05,0.0376236879698187,0.00011033339580592
"MT-ND6",3.20736107836332e-05,0.0379110079462545,0.000110850900427645
"SON",3.22135708495465e-05,0.038076440744164,0.000111010031324093
"MAPK1IP1L",3.27896468870444e-05,0.0387573626204865,0.00011266675180374
"C11orf58",3.38466324313614e-05,0.0400067195338692,0.000115961505895273
"ANAPC11",3.42241664333492e-05,0.0404529647242188,0.000116916083017973
"ARL6IP5",3.46486169498768e-05,0.0409546652347544,0.000117779664611464
"N4BP2L2",3.46762464338321e-05,0.0409873232847895,0.000117779664611464
"ACTR2",3.82825372031246e-05,0.0452499589740932,0.000129656042905711
"SSR1",4.20169196956523e-05,0.0496639990802611,0.000141897140229317
