"","p_value","bonferroni_pval","fdr"
"IL10RA",9.62766215794043e-09,1.89183561403529e-05,8.96604556414832e-08
"TBL1XR1",1.02684803308473e-08,2.01775638501149e-05,9.51771879722399e-08
"PSMD7",1.08463606290038e-08,2.13130986359925e-05,1.00061495943627e-07
"FCN1",1.18656818600665e-08,2.33160648550306e-05,1.08953574088928e-07
"BST1",1.29103837060451e-08,2.53689039823785e-05,1.17994902243621e-07
"H2AJ",1.30485821285911e-08,2.56404638826816e-05,1.18705851308711e-07
"NORAD",1.41249559718086e-08,2.77555384846038e-05,1.27743294919424e-07
"TLE5",1.4172029665361e-08,2.78480382924343e-05,1.27743294919424e-07
"CORO1A",1.42709465247128e-08,2.80424099210607e-05,1.28047533886122e-07
"TMEM50A",1.82233955267909e-08,3.5808972210144e-05,1.62768055500655e-07
"SERPINA1",1.86073730070513e-08,3.65634879588558e-05,1.65445646872651e-07
"EIF4EBP2",1.88195970257926e-08,3.69805081556825e-05,1.66578865566137e-07
"JUND",2.00380787482266e-08,3.93748247402653e-05,1.76568720808365e-07
"TXN",2.01730593512849e-08,3.96400616252747e-05,1.76964560827119e-07
